rank,title,singer,album,date,like,month,year,season
39,Kitsch,IVE (아이브),I've IVE,2024.01.15.03,157638,1,2024,winter
40,Fast Forward,전소미,GAME PLAN,2024.01.15.03,76086,1,2024,winter
41,취중고백,김민석,취중고백,2024.01.15.03,183412,1,2024,winter
42,심(心),DK(디셈버),심(心),2024.01.15.03,78700,1,2024,winter
43,Either Way,IVE (아이브),I'VE MINE,2024.01.15.03,75891,1,2024,winter
44,OMG,NewJeans,NewJeans 'OMG',2024.01.15.03,200716,1,2024,winter
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.15.03,249361,1,2024,winter
46,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.15.03,116721,1,2024,winter
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.15.03,202590,1,2024,winter
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.15.03,89122,1,2024,winter
49,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.15.03,172300,1,2024,winter
50,물론,허각,물론,2024.01.15.03,56688,1,2024,winter
51,I Love You,안세하,I Love You,2024.01.15.03,19440,1,2024,winter
52,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.15.03,301222,1,2024,winter
53,Off The Record,IVE (아이브),I'VE MINE,2024.01.15.03,57439,1,2024,winter
54,해요 (2022),#안녕,해요 (2022),2024.01.15.03,97912,1,2024,winter
55,주저하는 연인들을 위해,잔나비,전설,2024.01.15.03,416855,1,2024,winter
56,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.15.03,39656,1,2024,winter
57,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.15.03,43042,1,2024,winter
58,After LIKE,IVE (아이브),After LIKE,2024.01.15.03,241599,1,2024,winter
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.15.03,438895,1,2024,winter
60,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.15.03,189258,1,2024,winter
61,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.15.03,188432,1,2024,winter
62,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.15.03,57797,1,2024,winter
